iter	Passed	Remaining
0	1755	1753500
1	3534	1763546
2	4376	1454605
3	5105	1271286
4	5802	1154702
5	6301	1043883
6	6885	976695
7	7580	940041
88	8571	94382899	8928	883907110	9324	838400111	9791	806135112	10024	761091313	10273	723514	14	10499	68915	915	10745	6616	1016	10965	6317	1017	11193	6118	1018	11436	5919	1119	11674	5720	1120	11859	5521	1121	12032	5322	112223	12346	502088
24	12865	501769
25	13310	498643
26	13603	490226
27	13885	482037
28	14242	476873
29	14642	473436
30	15041	470156
31	15415	466312
32	15809	463280
33	15973	453832
34	16333	450348
35	16655	445994
36	16992	442251
37	17292	437767
38	17532	432020
39	17748	425954
40	17954	419949
41	18152	414046
42	18478	411248
43	18825	409028
44	19130	406001
45	19341	401122
46	19553	396488
47	19786	392441
48	19977	387724
49	20167	383188
50	20386	379356
51	20560	374842
52	20756	370867
53	20938	366811
54	21143	363283
55	21342	359778
56	21505	355787
57	21730	352926
58	21949	350073
59	22159	347164
60	22370	344355
61	22597	341875
62	22812	339289
63	22978	336056
64	23162	333178
65	23291	329613
66	23450	326553
67	23606	323549
68	23799	321116
69	23966	318415
70	24093	315253
71	24285	313014
72	24436	310309
73	24590	307713
74	24748	305225
75	24914	302910
76	25032	300068
77	25174	297579
78	25299	294943
79	25453	292720
80	25583	290267
81	25710	287831
82	25854	285650
83	26021	283760
84	26173	281747
85	26341	279956
86	26553	278660
87	26746	277193
88	26878	275128
89	27024	273246
90	27164	271341
91	27320	269640
92	27455	267760
93	27595	265969
94	27771	264562
95	27935	263055
96	28090	261504
97	28231	259845
98	28357	258079
99	28475	256278
100	28616	254716
101	28739	253022
102	28862	251353
103	28981	249687
104	29096	248010
105	29239	246608
106	29387	245257
107	29500	243656
108	29612	242061
109	29752	240721
110	29873	239256
111	30001	237870
112	30138	236576
113	30275	235297
114	30412	234042
115	30561	232902
116	30679	231538
117	30794	230175
118	30919	228909
119	31050	227701
120	31181	226516
121	31329	225467
122	31422	224046
123	31541	222823
124	31674	221721
125	31834	220820
126	31973	219788
127	32147	219003
128	32264	217848
129	32372	216647
130	32549	215922
131	32714	215124
132	32848	214130
133	32980	213142
134	33129	212275
135	33279	211419
136	33433	210606
137	33570	209696
138	33719	208868
139	33895	208217
140	34060	207504
141	34203	206669
142	34315	205655
143	34497	205066
144	34637	204241
145	34775	203410
146	34918	202621
147	35081	201957
148	35202	201053
149	35305	200066
150	35441	199268
151	35607	198653
152	35764	197988
153	35880	197108
154	35994	196226
155	36128	195466
156	36273	194766
157	36401	193987
158	36546	193306
159	36681	192578
160	36822	191888
161	36959	191185
162	37106	190541
163	37241	189839
164	37439	189466
165	37569	188754
166	37700	188051
167	37824	187323
168	37937	186544
169	38038	185717
170	38133	184871
171	38266	184214
172	38413	183631
173	38552	183015
174	38697	182430
175	38824	181771
176	38984	181268
177	39130	180701
178	39307	180286
179	39465	179788
180	39614	179251
181	39741	178620
182	39941	178317
183	40075	177724
184	40233	177244
185	40383	176733
186	40512	176131
187	40628	175479
188	40766	174928
189	40929	174488
190	41090	174041
191	41211	173429
192	41341	172861
193	41488	172370
194	41675	172043
195	41815	171530
196	41925	170892
197	42034	170258
198	42121	169544
199	42229	168916
200	42361	168390
201	42520	167977
202	42656	167474
203	42835	167141
204	43076	167053
205	43258	166733
206	43466	166516
207	43659	166241
208	43824	165862
209	43969	165408
210	44112	164951
211	44232	164412
212	44373	163951
213	44543	163605
214	44699	163206
215	44821	162683
216	44967	162255
217	45125	161870
218	45251	161376
219	45495	161303
220	45627	160830
221	45733	160274
222	45930	160036
223	46117	159764
224	46276	159397
225	46413	158955
226	46580	158621
227	46749	158293
228	46882	157845
229	47030	157448
230	47173	157040
231	47287	156537
232	47410	156068
233	47535	155608
234	47681	155218
235	47806	154762
236	47937	154331
237	48093	153979
238	48220	153538
239	48364	153153
240	48520	152809
241	48677	152467
242	48842	152156
243	48997	151812
244	49138	151425
245	49290	151076
246	49441	150725
247	49598	150395
248	49761	150083
249	49895	149686
250	50075	149427
251	50261	149188
252	50391	148784
253	50533	148416
254	50661	148010
255	50786	147597
256	50923	147222
257	51043	146798
258	51191	146459
259	51342	146128
260	51470	145735
261	51582	145298
262	51754	145031
263	51887	144657
264	52099	144502
265	52224	144107
266	52358	143739
267	52482	143347
268	52612	142973
269	52744	142605
270	52903	142313
271	53048	141983
272	53169	141590
273	53313	141261
274	53465	140955
275	53622	140661
276	53767	140339
277	53917	140029
278	54071	139733
279	54243	139482
280	54361	139095
281	54571	138944
282	54924	139156
283	55169	139088
284	55431	139066
285	55611	138835
286	55846	138740
287	56098	138688
288	56311	138537
289	56473	138263
290	56667	138065
291	56806	137735
292	56939	137392
293	57090	137095
294	57262	136847
295	57415	136556
296	57591	136318
297	57740	136020
298	57933	135825
299	58075	135508
300	58243	135255
301	58400	134977
302	58523	134624
303	58653	134284
304	58886	134183
305	59095	134025
306	59267	133787
307	59445	133558
308	59653	133399
309	59834	133179
310	60056	133051
311	60227	132809
312	60421	132617
313	60601	132396
314	60743	132091
315	60912	131849
316	61072	131584
317	61203	131259
318	61360	130991
319	61502	130692
320	61757	130634
321	61945	130431
322	62120	130202
323	62284	129951
324	62448	129700
325	62622	129470
326	62798	129244
327	62947	128965
328	63063	128618
329	63215	128346
330	63383	128107
331	63531	127828
332	63689	127571
333	63831	127281
334	63973	126991
335	64160	126794
336	64308	126518
337	64476	126282
338	64647	126052
339	64805	125798
340	64966	125551
341	65093	125237
342	65228	124941
343	65359	124639
344	65531	124413
345	65693	124171
346	65868	123954
347	66021	123695
348	66196	123477
349	66351	123224
350	66501	122961
351	66721	122827
352	66863	122551
353	67021	122305
354	67157	122018
355	67274	121698
356	67411	121416
357	67512	121069
358	67635	120764
359	67791	120517
360	67930	120243
361	68093	120010
362	68227	119726
363	68342	119411
364	68466	119112
365	68633	118889
366	68777	118626
367	68987	118478
368	69147	118244
369	69293	117986
370	69450	117747
371	69578	117460
372	69709	117178
373	69837	116893
